iso3c;Country;pos_veg_uninformed;pos_veg_informers;pos_veg_supporters;pos_veg_critics;pb_meat_text;pb_milk_text;pb_dairy_text;pb_meat_graphics;pb_milk_graphics;pb_dairy_graphics;single_meat;single_dairy;eco_pb_pos;eco_ab_neg;sourcepb_protein;sourcepb_iron;sourcepb_calcium;sourcepb_zinc;sourcepb_n3;sourcepb_b12;bfci;year_fbdg;page_length;page_length_sqrt;share_veg;epi;prod_pct_gdp_meat;prod_pct_gdp_dairy;prod_pct_gdp_cereal;prod_pct_gdp_vegfruit;gdpk_per_cap;bfci_nsfg_meat;bfci_nsfg_dairy;bfci_pbs_protein;bfci_pbs_iron;bfci_pbs_calcium;bfci_pbs_zinc;bfci_pbs_n3;bfci_b12;bfci_pba_meat;bfci_pba_milk;bfci_pba_dairy;bfci_rec_veg;bfci_veg_healthy;bfci_veg_eco
MKD;North Macedonia;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;1;1;1;0;0;57;2014;32;5.66;7;55.4;0.6029;1.5096;1.0263;4.3201;5.1328;0;19;3;3;3;3;0;0;0;5;5;13;9;0
NOR;Norway;0;0;1;0;1;1;1;0;0;0;1;1;1;0;1;0;1;0;1;1;49;2018;39;6.24;8;77.7;0.3717;0.282;0.1153;0.107;70.4611;0;0;3;0;3;0;3;5;5;5;5;13;9;5
OMN;Oman;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;0;1;1;0;15;2009;45;6.71;22;38.5;-99;-99;0.0231;0.2625;14.6099;0;0;3;3;0;3;3;0;5;0;0;0;0;0
PAK;Pakistan;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;0;35;2018;106;10.3;28;33.1;4.8273;5.6318;4.0257;1.8763;1.3684;19;0;3;3;0;3;3;0;0;0;0;0;0;5
PAN;Panama;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2013;19;4.36;12;47.3;2.7777;0.2279;0.4345;0.5556;14.3441;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRY;Paraguay;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;45;2015;104;10.2;12;46.4;4.6936;0.5671;2.596;0.7785;5.3247;19;0;3;3;3;3;3;0;0;0;0;13;0;0
PER;Peru;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;3;2019;60;7.75;11;44;2.3108;0.3771;1.1015;1.7122;6.2051;0;0;3;0;0;0;0;0;0;0;0;0;0;0
PHL;Philippines;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;18;2012;1;1;28;38.4;3.18;0.0037;2.6707;2.143;3.0737;19;0;0;0;0;0;0;0;0;0;0;0;0;0
POL;Poland;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;26;2020;3;1.73;8.4;60.9;1.2277;0.7884;0.9434;0.6396;12.4474;19;0;3;0;0;0;0;0;0;0;0;0;0;5
PRT;Portugal;0;0;1;0;1;1;1;0;0;0;1;1;0;1;1;1;1;1;1;1;50;2009;58;7.62;1.8;67;0.5324;0.3375;0.1132;1.4828;19.9788;0;0;3;3;3;3;3;5;5;5;5;13;9;0
QAT;Qatar;0;1;0;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;0;83;2015;42;6.48;22;37.1;0.032;0.0317;0.0004;0.0185;57.1621;19;19;3;3;3;3;3;0;5;5;5;13;0;5
